Team,Public_Champ
Duke,0.236
Arizona,0.207
Michigan,0.142
Florida,0.076
Houston,0.062
Connecticut,0.038
Purdue,0.03
Iowa St.,0.029
Arkansas,0.02
Michigan St.,0.018
Gonzaga,0.017
Illinois,0.014
St. John's,0.011
Kansas,0.001
Virginia,0.001
Wisconsin,0.006
Alabama,0.006
North Carolina,0.005
BYU,0.005
Vanderbilt,0.004
Nebraska,0.004
Tennessee,0.004
Kentucky,0.004
Ohio St.,0.003
LIU,0.003
Miami FL,0.003
Texas Tech,0.003
Louisville,0.002
UCLA,0.002
Villanova,0.002
Georgia,0.002
Siena,0.001
TCU,0.001
South Florida,0.001
Prairie View A&M,0.001
Clemson,0.001
Iowa,0.001
McNeese St.,0.001
Penn,0.001
Saint Mary's,0.001
Texas A&M,0.001
Utah St.,0.001
Hawaii,0.001
Texas,0.001
Missouri,0.001
Howard,0.001
Saint Louis,0.001
Akron,0.001
Miami OH,0.001
Northern Iowa,0
Cal Baptist,0
North Dakota St.,0
UCF,0
Furman,0
Troy,0
VCU,0
Idaho,0
High Point,0
Kennesaw St.,0
Queens,0
Hofstra,0
Wright St.,0
Santa Clara,0
Tennessee St.,0
