Team,model_prob,public_prob,edge,model_rank,public_rank,edge_rank
Illinois,0.0715,0.014,0.0575,6.0,12.0,1.0
Purdue,0.0809,0.03,0.0509,5.0,7.0,2.0
Michigan,0.1656,0.142,0.0236,2.0,3.0,3.0
Iowa St.,0.0428,0.029,0.0138,8.0,8.0,4.0
Florida,0.0876,0.076,0.0116,4.0,4.0,5.0
Vanderbilt,0.0131,0.004,0.0091,11.0,19.5,6.0
Virginia,0.0085,0.001,0.0075,16.0,39.5,7.0
Texas Tech,0.0094,0.003,0.0064,14.0,23.5,8.0
Louisville,0.007,0.002,0.005,18.5,27.5,9.0
Alabama,0.0106,0.006,0.0046,13.0,14.5,10.0
Kansas,0.0028,0.001,0.0018,23.0,39.5,11.0
Tennessee,0.0054,0.004,0.0014,20.0,19.5,12.0
UCLA,0.003,0.002,0.001,22.0,27.5,14.0
Wisconsin,0.007,0.006,0.001,18.5,14.5,14.0
Santa Clara,0.001,0.0,0.001,28.0,57.0,14.0
Saint Mary's,0.0014,0.001,0.0004,26.0,39.5,16.0
Iowa,0.0012,0.001,0.0002,27.0,39.5,17.0
Tennessee St.,0.0,0.0,0.0,51.5,57.0,24.5
UCF,0.0,0.0,0.0,51.5,57.0,24.5
Troy,0.0,0.0,0.0,51.5,57.0,24.5
Wright St.,0.0,0.0,0.0,51.5,57.0,24.5
VCU,0.0,0.0,0.0,51.5,57.0,24.5
Cal Baptist,0.0,0.0,0.0,51.5,57.0,24.5
Furman,0.0,0.0,0.0,51.5,57.0,24.5
High Point,0.0,0.0,0.0,51.5,57.0,24.5
Hofstra,0.0,0.0,0.0,51.5,57.0,24.5
Idaho,0.0,0.0,0.0,51.5,57.0,24.5
Kennesaw St.,0.0,0.0,0.0,51.5,57.0,24.5
Queens,0.0,0.0,0.0,51.5,57.0,24.5
Northern Iowa,0.0,0.0,0.0,51.5,57.0,24.5
North Dakota St.,0.0,0.0,0.0,51.5,57.0,24.5
Utah St.,0.0008,0.001,-0.0002,29.0,39.5,32.0
Nebraska,0.0033,0.004,-0.0007,21.0,19.5,33.0
Missouri,0.0002,0.001,-0.0008,35.0,39.5,34.5
Clemson,0.0002,0.001,-0.0008,35.0,39.5,34.5
Texas,0.0001,0.001,-0.0009,37.5,39.5,36.5
Saint Louis,0.0001,0.001,-0.0009,37.5,39.5,36.5
Ohio St.,0.0021,0.003,-0.0009,24.0,23.5,38.0
McNeese St.,0.0,0.001,-0.001,51.5,39.5,44.0
Prairie View A&M,0.0,0.001,-0.001,51.5,39.5,44.0
Howard,0.0,0.001,-0.001,51.5,39.5,44.0
Penn,0.0,0.001,-0.001,51.5,39.5,44.0
Hawaii,0.0,0.001,-0.001,51.5,39.5,44.0
South Florida,0.0,0.001,-0.001,51.5,39.5,44.0
TCU,0.0,0.001,-0.001,51.5,39.5,44.0
Miami OH,0.0,0.001,-0.001,51.5,39.5,44.0
Siena,0.0,0.001,-0.001,51.5,39.5,44.0
Texas A&M,0.0,0.001,-0.001,51.5,39.5,44.0
Akron,0.0,0.001,-0.001,51.5,39.5,44.0
Villanova,0.0005,0.002,-0.0015,31.5,27.5,50.0
Georgia,0.0002,0.002,-0.0018,35.0,27.5,51.0
Miami FL,0.0007,0.003,-0.0023,30.0,23.5,52.0
St. John's,0.0081,0.011,-0.0029,17.0,13.0,53.0
LIU,0.0,0.003,-0.003,51.5,23.5,54.0
Gonzaga,0.0137,0.017,-0.0033,10.0,11.0,55.0
BYU,0.0016,0.005,-0.0034,25.0,16.5,56.0
Houston,0.0584,0.062,-0.0036,7.0,5.0,57.0
Kentucky,0.0003,0.004,-0.0037,33.0,19.5,58.0
North Carolina,0.0005,0.005,-0.0045,31.5,16.5,59.0
Michigan St.,0.0118,0.018,-0.0062,12.0,10.0,60.0
Arkansas,0.0091,0.02,-0.0109,15.0,9.0,61.0
Connecticut,0.0217,0.038,-0.0163,9.0,6.0,62.0
Duke,0.2039,0.236,-0.0321,1.0,1.0,63.0
Arizona,0.1439,0.207,-0.0631,3.0,2.0,64.0
